1	vfoa_freq	1810000
1	vfoa_mode	0
2	vfoa_freq	3500000
2	vfoa_mode	0
3	vfoa_freq	7000000
3	vfoa_mode	4
4	vfoa_freq	7040000
4	vfoa_mode	0
5	vfoa_freq	10100000
5	vfoa_mode	2
6	vfoa_freq	14000000
6	vfoa_mode	4
7	vfoa_freq	14100000
7	vfoa_mode	2
8	vfoa_freq	18068000
8	vfoa_mode	2
9	vfoa_freq	21000000
9	vfoa_mode	2
10	vfoa_freq	24890000
10	vfoa_mode	2
11	vfoa_freq	28000000
11	vfoa_mode	2
12	vfoa_freq	50000000
12	vfoa_mode	2
201	vfoa_freq	26055000
201	vfoa_mode	6
202	vfoa_freq	26515000
202	vfoa_mode	6
203	vfoa_freq	26965000
203	vfoa_mode	6
204	vfoa_freq	27415000
204	vfoa_mode	6
