1	160m	1810000	2000000	1
2	80m	3500000	3800000	1
3	40m	7000000	7200000	1
4	30m	10100000	10150000	1
5	20m	14000000	14350000	1
6	17m	18068000	18168000	1
7	15m	21000000	21450000	1
8	12m	24890000	24990000	1
9	10m	28000000	29700000	1
